+-----+-------------+----------------+
| id  | exercise_id | musclegroup_id |
+-----+-------------+----------------+
|   1 |           8 |             26 |
|   2 |          56 |             12 |
|   3 |          57 |             12 |
|   4 |          58 |             12 |
|   5 |          59 |             11 |
|   6 |          60 |             12 |
|   7 |          61 |             12 |
|   8 |          62 |             11 |
|   9 |           4 |             25 |
|  10 |           5 |             25 |
|  11 |           6 |             26 |
|  12 |           7 |             25 |
|  13 |           9 |             25 |
| 327 |          11 |             26 |
|  15 |          11 |             25 |
|  16 |          12 |             25 |
|  17 |          13 |             25 |
|  19 |          15 |             25 |
|  20 |          16 |             25 |
|  21 |          11 |             11 |
| 328 |          12 |             26 |
|  24 |          15 |             11 |
|  25 |          17 |             11 |
|  26 |          18 |             11 |
|  27 |          18 |             25 |
|  28 |          19 |             25 |
|  29 |          20 |             11 |
|  30 |          20 |             26 |
|  31 |          21 |             25 |
|  32 |          22 |             25 |
| 224 |          26 |             26 |
|  39 |          26 |             25 |
| 225 |          27 |             26 |
|  41 |          27 |             25 |
|  42 |          28 |             11 |
|  43 |          28 |             26 |
|  44 |          29 |             25 |
| 227 |          30 |             15 |
|  46 |          30 |             25 |
|  47 |          31 |             11 |
|  48 |          31 |             25 |
|  49 |          32 |             15 |
|  50 |          32 |             25 |
|  51 |          33 |             11 |
|  52 |          33 |             25 |
|  54 |          35 |             11 |
|  55 |          35 |             25 |
| 275 |         214 |             21 |
| 274 |         276 |             21 |
| 419 |         184 |             10 |
|  61 |          37 |             25 |
| 627 |         616 |             17 |
| 626 |         616 |             21 |
|  64 |         200 |             12 |
|  65 |         200 |             13 |
|  66 |         225 |             12 |
|  67 |         225 |             13 |
|  68 |         223 |             21 |
|  69 |         223 |             17 |
|  70 |         220 |             21 |
|  71 |         220 |             17 |
| 344 |         204 |             17 |
| 343 |         204 |             21 |
|  74 |         229 |             21 |
|  75 |         229 |             17 |
|  76 |         290 |             21 |
|  77 |         290 |             17 |
|  78 |         236 |             21 |
|  79 |         236 |             17 |
|  82 |         277 |             21 |
|  83 |         277 |             17 |
|  86 |         279 |             21 |
|  87 |         279 |             17 |
|  88 |         235 |             21 |
|  89 |         235 |             17 |
|  90 |         234 |             21 |
|  91 |         234 |             17 |
| 363 |         141 |             18 |
| 362 |         233 |             18 |
|  94 |         141 |             21 |
|  95 |         141 |             17 |
|  96 |         233 |             21 |
|  97 |         233 |             17 |
|  98 |         291 |             17 |
|  99 |         291 |             18 |
| 100 |         138 |             17 |
| 101 |         138 |             18 |
| 102 |         143 |             21 |
| 103 |         143 |             17 |
| 106 |         275 |             17 |
