+------+-------------+----------+
| id   | exercise_id | phase_id |
+------+-------------+----------+
| 2302 |         262 |        4 |
| 2299 |         284 |        4 |
| 2300 |         273 |        4 |
|  866 |          86 |        3 |
|  865 |          86 |        2 |
|  864 |          86 |        1 |
| 2265 |         253 |        3 |
| 2266 |         253 |        4 |
|  861 |          84 |        3 |
|  860 |          84 |        2 |
| 2267 |         254 |        2 |
|  858 |          83 |        5 |
|  857 |          83 |        4 |
|  856 |          83 |        3 |
|  855 |          83 |        2 |
| 2226 |          10 |        1 |
|  846 |          81 |        3 |
|  845 |          81 |        2 |
|  841 |          80 |        3 |
|  881 |          89 |        3 |
|  880 |          89 |        2 |
| 2334 |         378 |        3 |
| 3335 |         682 |        1 |
| 3336 |         682 |        2 |
| 2254 |          87 |        4 |
| 3144 |         647 |        3 |
|  871 |          87 |        3 |
|  870 |          87 |        2 |
|  840 |          80 |        2 |
|  833 |         203 |        5 |
|  832 |         203 |        4 |
| 2253 |         203 |        3 |
|  826 |          77 |        3 |
|  820 |          76 |        2 |
|  816 |          75 |        3 |
|  815 |          75 |        2 |
| 2187 |          69 |        1 |
| 2188 |          71 |        2 |
|  811 |          74 |        3 |
|  810 |          74 |        2 |
|  809 |          74 |        1 |
|  806 |          73 |        3 |
|  801 |          72 |        3 |
|  672 |          46 |        4 |
|  671 |          46 |        3 |
|  670 |          46 |        2 |
|  669 |          46 |        1 |
|  796 |          71 |        3 |
|  791 |          70 |        3 |
|  786 |          69 |        3 |
|  785 |          69 |        2 |
|  781 |          68 |        3 |
|  780 |          68 |        2 |
|  776 |          67 |        3 |
|  775 |          67 |        2 |
|  771 |          66 |        3 |
|  766 |          65 |        3 |
| 2090 |         211 |        4 |
|  756 |         202 |        3 |
|  755 |         202 |        2 |
|  751 |          62 |        3 |
|  750 |          62 |        2 |
|  746 |          61 |        3 |
|  745 |          61 |        2 |
|  742 |          60 |        4 |
|  741 |          60 |        3 |
|  740 |          60 |        2 |
|  736 |          59 |        3 |
|  735 |          59 |        2 |
|  732 |          58 |        4 |
|  731 |          58 |        3 |
|  730 |          58 |        2 |
|  726 |          57 |        3 |
|  725 |          57 |        2 |
| 2133 |         210 |        1 |
|  721 |          56 |        3 |
|  720 |          56 |        2 |
| 2134 |         202 |        1 |
| 2091 |         211 |        5 |
|  716 |          55 |        3 |
|  715 |          55 |        2 |
| 2093 |         132 |        5 |
|  711 |          54 |        3 |
| 3153 |         650 |        3 |
|  710 |          54 |        2 |
| 3152 |         650 |        2 |
| 2125 |          62 |        5 |
| 2126 |          61 |        1 |
|  701 |          52 |        3 |
|  700 |          52 |        2 |
|  699 |          52 |        1 |
| 2127 |          60 |        5 |
| 2092 |         132 |        4 |
|  696 |          51 |        3 |
|  695 |          51 |        2 |
|  694 |          51 |        1 |
| 2128 |          59 |        1 |
| 2129 |          58 |        5 |
|  691 |          50 |        3 |
|  690 |          50 |        2 |
| 3151 |         650 |        1 |
| 2130 |          57 |        4 |
| 2131 |          57 |        5 |
|  684 |          49 |        1 |
| 2231 |          55 |        1 |
| 2232 |          54 |        1 |
|  681 |          48 |        3 |
|  680 |          48 |        2 |
|  679 |          48 |        1 |
| 2132 |          56 |        1 |
|  676 |          47 |        3 |
|  675 |          47 |        2 |
|  673 |          46 |        5 |
|  665 |          45 |        2 |
| 2121 |          45 |        3 |
|  660 |          44 |        2 |
|  659 |          44 |        1 |
|  655 |          43 |        2 |
|  654 |          43 |        1 |
|  650 |          42 |        2 |
|  649 |          42 |        1 |
|  645 |          41 |        2 |
|  644 |          41 |        1 |
|  643 |          40 |        5 |
| 2227 |          10 |        4 |
| 2228 |          10 |        5 |
|  635 |          39 |        2 |
|  634 |          39 |        1 |
|  633 |          38 |        5 |
|  628 |          37 |        5 |
|  620 |          36 |        2 |
|  619 |          36 |        1 |
|  615 |          35 |        2 |
|  614 |          35 |        1 |
|  610 |          34 |        2 |
|  609 |          34 |        1 |
|  605 |          33 |        2 |
|  604 |          33 |        1 |
|  600 |          32 |        2 |
|  599 |          32 |        1 |
|  595 |          31 |        2 |
|  594 |          31 |        1 |
|  590 |          30 |        2 |
|  589 |          30 |        1 |
|  584 |          29 |        1 |
|  585 |          29 |        2 |
|  580 |          28 |        2 |
|  579 |          28 |        1 |
|  575 |          27 |        2 |
|  574 |          27 |        1 |
|  570 |          26 |        2 |
|  569 |          26 |        1 |
| 2258 |         249 |        4 |
| 2259 |         250 |        2 |
| 2260 |         250 |        3 |
|  550 |          22 |        2 |
|  549 |          22 |        1 |
| 2225 |           4 |        1 |
|  551 |          22 |        3 |
| 2230 |          12 |        5 |
|  546 |          21 |        3 |
|  545 |          21 |        2 |
| 1838 |          17 |        5 |
|  541 |          20 |        3 |
|  536 |          19 |        3 |
|  535 |          19 |        2 |
|  533 |          18 |        5 |
|  532 |          18 |        4 |
|  686 |          49 |        3 |
|  685 |          49 |        2 |
|  521 |          16 |        3 |
|  520 |          16 |        2 |
|  516 |          15 |        3 |
|  515 |          15 |        2 |
|  514 |          15 |        1 |
|  506 |          13 |        3 |
|  505 |          13 |        2 |
|  501 |          12 |        3 |
|  500 |          12 |        2 |
|  498 |          11 |        5 |
|  497 |          11 |        4 |
|  496 |          11 |        3 |
|  495 |          11 |        2 |
|  491 |          10 |        3 |
|  490 |          10 |        2 |
|  486 |           9 |        3 |
|  485 |           9 |        2 |
|  481 |           8 |        3 |
|  480 |           8 |        2 |
|  476 |           7 |        3 |
|  475 |           7 |        2 |
|  471 |           6 |        3 |
|  470 |           6 |        2 |
|  466 |           5 |        3 |
|  465 |           5 |        2 |
|  461 |           4 |        3 |
|  460 |           4 |        2 |
|  527 |          17 |        4 |
|  526 |          17 |        3 |
|  525 |          17 |        2 |
|  456 |           3 |        3 |
|  451 |           2 |        3 |
|  531 |          18 |        3 |
|  530 |          18 |        2 |
| 2332 |         247 |        4 |
| 2303 |         261 |        4 |
| 2337 |         379 |        2 |
|  885 |          90 |        2 |
|  886 |          90 |        3 |
| 2336 |         378 |        5 |
| 2335 |         378 |        4 |
|  890 |          91 |        2 |
|  891 |          91 |        3 |
| 2338 |         379 |        3 |
| 2343 |         380 |        4 |
|  895 |          92 |        2 |
|  896 |          92 |        3 |
